Assembly	scaffolds
# total reads	200
# left	100
# right	100
# mapped	200
Mapped (%)	100.0
# properly paired	0
Properly paired (%)	0.0
# singletons	0
Singletons (%)	0.0
# misjoint mates	0
Misjoint mates (%)	0.0
Avg. coverage depth	102
Coverage >= 1x (%)	51.43
Coverage >= 5x (%)	51.43
Coverage >= 10x (%)	51.43
# reference mapped	0
Reference mapped (%)	0.0
# reference properly paired	0
Reference properly paired (%)	0.0
# reference singletons	0
Reference singletons (%)	0.0
# reference misjoint mates	0
Reference misjoint mates (%)	0.0
Reference avg. coverage depth	0
Reference coverage >= 1x (%)	0.0
Reference coverage >= 5x (%)	0.0
Reference coverage >= 10x (%)	0.0
